match_id,map_name,map_name_en,map_name_cn,ring1_x,ring1_y,ring1_r,ring2_x,ring2_y,ring2_r,target_ring5_x,target_ring5_y,target_ring5_r,delta_x,delta_y,delta_distance,delta_angle,radius_shrink_ratio,ring1_x_norm,ring1_y_norm,ring2_x_norm,ring2_y_norm
algs_2024_championship_match_109,mp_rr_canyonlands,King's Canyon,诸王峡谷,3335.47,10549.56,877.01,3618.3,10278.94,486.62,3476.53,10402.53,48.1,282.8300000000004,-270.619999999999,391.44347395249764,316.26383232831444,0.5548625443267465,0.18530388888888888,0.5860866666666666,0.20101666666666668,0.5710522222222223
algs_2024_championship_match_113,mp_rr_district,Broken Moon,残月,6531.28,6951.43,887.91,6567.26,6974.32,499.92,6748.54,6953.93,57.69,35.98000000000047,22.889999999999418,42.64402068285784,32.463978923201715,0.563030036828057,0.408205,0.434464375,0.41045375,0.435895
algs_2024_championship_match_118,mp_rr_olympus,Olympus,奥林匹斯,13442.44,3474.67,851.54,13108.46,3214.31,466.87,13427.55,3163.06,57.18,-333.9800000000014,-260.3600000000001,423.47369457854285,217.93882570990286,0.5482654954552928,0.8401525000000001,0.217166875,0.81927875,0.200894375
algs_2024_championship_match_119,mp_rr_district,Broken Moon,残月,6093.71,5473.97,842.63,6580.35,5562.28,446.36,6594.77,5263.7,52.18,486.6400000000003,88.30999999999949,494.5878543797858,10.28547039435903,0.5297224167190819,0.380856875,0.34212312500000003,0.411271875,0.34764249999999997
algs_2024_championship_match_132,mp_rr_desertlands,World's Edge,世界边缘,11625.88,6089.98,905.77,11698.29,5518.21,494.69,11570.97,5288.79,62.03,72.41000000000167,-571.7699999999995,576.3368294669357,277.21762034054905,0.5461541009306998,0.7266174999999999,0.38062375,0.731143125,0.344888125
algs_2024_championship_match_15,mp_rr_desertlands,World's Edge,世界边缘,4145.33,11193.01,944.71,4054.39,11007.84,494.94,4130.93,10865.64,59.88,-90.94000000000005,-185.17000000000007,206.29593427888986,243.84359415396858,0.5239068073800426,0.25908312499999997,0.6995631250000001,0.253399375,0.68799
algs_2024_championship_match_154,mp_rr_olympus,Olympus,奥林匹斯,10642.28,8930.85,850.33,10560.47,8697.68,442.7,10971.15,8789.48,46.59,-81.81000000000131,-233.17000000000007,247.1054936661673,250.66607430041267,0.5206214058071572,0.6651425000000001,0.558178125,0.6600293749999999,0.543605
algs_2024_championship_match_155,mp_rr_desertlands,World's Edge,世界边缘,7172.3,7028.13,923.97,7301.07,7365.08,504.06,7642.2,7440.88,57.26,128.76999999999953,336.9499999999998,360.71736221035957,69.08496732628981,0.5455371927659989,0.44826875,0.439258125,0.45631687499999996,0.4603175
algs_2024_championship_match_175,mp_rr_district,Broken Moon,残月,10157.5,3503.58,890.24,10472.72,3228.2,509.06,10279.28,3119.81,56.56,315.21999999999935,-275.3800000000001,418.56635411843564,318.85914479552883,0.5718233285406182,0.63484375,0.21897375,0.6545449999999999,0.20176249999999998
algs_2024_championship_match_177,mp_rr_tropic,Storm Point,风暴点,12200.89,7875.47,855.08,12334.86,7667.74,443.36,12127.39,7574.57,45.99,133.97000000000116,-207.73000000000047,247.18356296485516,302.8189286481472,0.5185011928708425,0.6778272222222221,0.4375261111111111,0.68527,0.42598555555555556
algs_2024_championship_match_178,mp_rr_desertlands,World's Edge,世界边缘,6193.99,7783.65,910.28,6355.3,7282.15,510.04,6390.24,7236.9,54.9,161.3100000000004,-501.5,526.8046754727981,287.83064850183445,0.5603111130641122,0.38712437499999997,0.486478125,0.39720625000000004,0.455134375
algs_2024_championship_match_189,mp_rr_district,Broken Moon,残月,4570.33,5921.23,866.23,4534.05,5873.18,487.5,4531.03,5969.68,53.18,-36.279999999999745,-48.04999999999927,60.20831254901529,232.9454866426572,0.5627835563303049,0.285645625,0.37007687499999997,0.28337812500000004,0.36707375000000003
algs_2024_championship_match_196,mp_rr_canyonlands,King's Canyon,诸王峡谷,11443.66,3015.15,942.17,11413.94,3039.75,475.74,11252.63,3071.14,48.51,-29.719999999999345,24.59999999999991,38.58028512077064,140.38457748453985,0.5049407219503912,0.6357588888888889,0.16750833333333334,0.6341077777777778,0.168875
algs_2024_championship_match_198,mp_rr_desertlands,World's Edge,世界边缘,5108.5,8048.2,920.31,4644.85,8190.15,494.09,4414.44,8045.81,57.63,-463.64999999999964,141.94999999999982,484.89290054608927,162.97762971530216,0.5368734448175071,0.31928125,0.5030125,0.290303125,0.511884375
algs_2024_championship_match_205,mp_rr_olympus,Olympus,奥林匹斯,7273.54,13724.48,816.65,7126.63,13876.37,439.06,7371.52,13506.39,48.28,-146.90999999999985,151.89000000000124,211.31284911240095,134.04515874612756,0.537635461948203,0.45459625,0.85778,0.44541437500000003,0.8672731250000001
algs_2024_championship_match_206,mp_rr_desertlands,World's Edge,世界边缘,5092.38,3814.08,870.6,5267.24,3654.81,462.91,5014.15,3755.09,54.76,174.85999999999967,-159.26999999999998,236.5226257675994,317.6713969064254,0.5317137606248564,0.31827375,0.23838,0.3292025,0.228425625
algs_2024_championship_match_217,mp_rr_tropic,Storm Point,风暴点,12561.95,8917.62,969.03,12608.93,8886.32,500.24,12669.53,9092.96,46.92,46.97999999999956,-31.30000000000109,56.451841422579186,326.3268222581952,0.5162275677739595,0.6978861111111112,0.4954233333333334,0.7004961111111111,0.4936844444444444
algs_2024_championship_match_225,mp_rr_tropic,Storm Point,风暴点,13474.26,4955.16,853.23,13310.5,5185.67,440.24,13220.51,5398.41,41.82,-163.76000000000022,230.51000000000022,282.758196521339,125.39092712254102,0.5159687305884697,0.74857,0.2752866666666667,0.7394722222222222,0.2880927777777778
algs_2024_championship_match_231,mp_rr_canyonlands,King's Canyon,诸王峡谷,14510.65,5835.16,905.52,14693.46,6244.17,485.14,14604.6,6305.31,51.54,182.8099999999995,409.0100000000002,448.0052189428154,65.91739644104379,0.5357584592278469,0.8061472222222222,0.32417555555555555,0.8163033333333333,0.34689833333333336
algs_2024_championship_match_244,mp_rr_district,Broken Moon,残月,13200.64,7414.06,844.2,13226.06,7952.97,486.22,13103.78,7967.27,58.2,25.420000000000073,538.9099999999999,539.5091885223085,87.29940068577586,0.5759535655058043,0.82504,0.46337875,0.82662875,0.49706062500000003
algs_2024_championship_match_247,mp_rr_district,Broken Moon,残月,8035.78,8021.77,916.26,8243.52,7797.22,518.86,8485.05,7952.85,60.44,207.7400000000007,-224.55000000000018,305.9062112805171,312.7731221337192,0.5662803134481479,0.5022362499999999,0.501360625,0.51522,0.48732625
algs_2024_championship_match_249,mp_rr_tropic,Storm Point,风暴点,14424.54,7484.2,952.33,14184.54,6952.16,483.47,14100.64,6698.41,44.77,-240.0,-532.04,583.6664814772216,245.72015460316675,0.5076706603803304,0.8013633333333334,0.4157888888888889,0.78803,0.3862311111111111
algs_2024_championship_match_252,mp_rr_tropic,Storm Point,风暴点,10474.25,7125.94,954.47,10696.48,7057.39,490.25,10608.98,7168.44,47.96,222.22999999999956,-68.54999999999927,232.5624118381982,342.8568783997284,0.5136358397854306,0.5819027777777778,0.39588555555555555,0.5942488888888888,0.39207722222222224
algs_2024_championship_match_256,mp_rr_olympus,Olympus,奥林匹斯,10067.74,10476.31,831.2,9827.87,10496.68,462.11,10008.27,10421.19,51.3,-239.86999999999898,20.3700000000008,240.7333666112771,175.14603107311476,0.5559552454282964,0.62923375,0.654769375,0.614241875,0.6560425
algs_2024_championship_match_257,mp_rr_canyonlands,King's Canyon,诸王峡谷,7965.24,7318.57,959.16,8077.29,7391.64,496.85,7775.5,7404.2,50.36,112.05000000000018,73.07000000000062,133.7700541974927,33.10915819441121,0.518005338004087,0.4425133333333333,0.4065872222222222,0.44873833333333335,0.41064666666666666
algs_2024_championship_match_265,mp_rr_canyonlands,King's Canyon,诸王峡谷,6514.06,7443.97,902.62,6359.22,7485.03,486.2,6353.29,7010.6,51.7,-154.84000000000015,41.05999999999949,160.19160152767063,165.14829975950107,0.5386541401697281,0.3618922222222222,0.4135538888888889,0.35329,0.415835
algs_2024_championship_match_272,mp_rr_desertlands,World's Edge,世界边缘,6555.36,13186.61,888.33,7025.59,13399.18,492.71,6869.66,13230.63,59.97,470.2300000000005,212.5699999999997,516.0448215029392,24.325602957346696,0.5546474846059459,0.40970999999999996,0.824163125,0.439099375,0.83744875
algs_2024_championship_match_283,mp_rr_desertlands,World's Edge,世界边缘,9741.05,9659.03,890.83,9696.36,9683.23,480.84,9799.69,9987.52,54.9,-44.68999999999869,24.19999999999891,50.82161056086112,151.5640931196813,0.5397662853743138,0.608815625,0.6036893750000001,0.6060225,0.605201875
algs_2024_championship_match_29,mp_rr_tropic,Storm Point,风暴点,8714.95,12336.2,926.99,9305.79,12501.3,482.22,9618.0,12624.82,48.04,590.8400000000001,165.09999999999854,613.4736470297642,15.612099685560251,0.5201997864054628,0.48416388888888895,0.6853444444444445,0.5169883333333334,0.6945166666666667
algs_2024_championship_match_298,mp_rr_olympus,Olympus,奥林匹斯,3192.1,5032.79,825.95,3081.9,5202.99,435.92,3150.9,5293.36,50.88,-110.19999999999982,170.19999999999982,202.76114026114544,122.92198954551756,0.5277801319692476,0.19950625,0.314549375,0.19261875,0.325186875
